type,jaccard_turnover,jaccard_nestedness,jaccard_overall,bray_overall,jaccard_turnover_phy,jaccard_nestedness_phy,jaccard_overall_phy,Z_Pop_Abundance,Z_Crevice_Count,Z_Outcrop_Size,Z_Crevice_Density,Z_Outcrop_Density,Z_TL
BB,0.959341723,0.008292492,0.967634215,0.948073876,0.758664991,0.052124434,0.810789425,NA,1.048050736,-0.762532982,NA,NA,5.468395745
BB,0.972916667,0.004585497,0.977502163,0.961624487,0.788856968,0.042654392,0.83151136,NA,1.048050736,-0.762532982,NA,NA,6.468395745
TR2,0.927927928,0.015213508,0.943141436,0.888083058,0.731009082,0.06212346,0.793132543,-1.956580353,-0.005676646,0.024553134,-0.950881864,-1.967720609,0.27170287
TR2,0.951435874,0.011010353,0.962446227,0.914614757,0.73277088,0.071986193,0.804757073,-1.956580353,-0.005676646,0.024553134,-0.950881864,-1.967720609,0.27170287
TR2,0.933595028,0.01575627,0.949351297,0.866800312,0.725477759,0.073066867,0.798544626,-1.956580353,-0.005676646,0.024553134,-0.950881864,-1.967720609,0.27170287
TR2,0.936849817,0.013283239,0.950133056,0.907223298,0.735156665,0.060194963,0.795351628,-1.956580353,-0.005676646,0.024553134,-0.950881864,-1.967720609,0.27170287
TR2,0.937772749,0.013671317,0.951444066,0.888477269,0.734314919,0.057526425,0.791841344,-1.956580353,-0.005676646,0.024553134,-0.950881864,-1.967720609,0.27170287
TR2,0.932003923,0.015970064,0.947973987,0.885937871,0.712184495,0.079327886,0.791512381,-1.956580353,-0.005676646,0.024553134,-0.950881864,-1.967720609,0.27170287
TR2,0.941705476,0.014096302,0.955801778,0.889564556,0.724392426,0.074292304,0.79868473,-1.956580353,-0.005676646,0.024553134,-0.950881864,-1.967720609,0.27170287
DNR,0.926047019,0.010930559,0.936977577,0.870454695,0.755518981,0.023949828,0.779468809,0.618491917,0.591435537,0.20026349,-0.405519116,0.50649756,0.910954715
DNR,0.919075145,0.019846638,0.938921782,0.889582888,0.728206349,0.051995279,0.780201628,0.618491917,0.591435537,0.20026349,-0.405519116,0.50649756,0.910954715
DNR,0.927661169,0.018518418,0.946179587,0.902096565,0.744442891,0.05249828,0.796941171,0.618491917,0.591435537,0.20026349,-0.405519116,0.50649756,0.910954715
DNR,0.914851485,0.022793526,0.937645012,0.892203202,0.736317323,0.04496347,0.781280794,0.618491917,0.591435537,0.20026349,-0.405519116,0.50649756,0.910954715
DNR,0.913368016,0.016369647,0.929737663,0.885758866,0.727813753,0.055059767,0.78287352,0.618491917,0.591435537,0.20026349,-0.405519116,0.50649756,0.910954715
DNR,0.896661367,0.028564598,0.925225965,0.874569929,0.701478168,0.067685337,0.769163505,0.618491917,0.591435537,0.20026349,-0.405519116,0.50649756,0.910954715
DNR,0.950149127,0.008581032,0.958730159,0.921067611,0.743907851,0.059154162,0.803062013,0.618491917,0.591435537,0.20026349,-0.405519116,0.50649756,0.910954715
1250,0.933049947,0.033048708,0.966098655,0.908120553,0.668098272,0.162903673,0.831001946,0.618491917,0.357273897,0.20026349,-0.288551235,0.50649756,-1.203493695
1250,0.92131398,0.038994305,0.960308285,0.905095261,0.673459962,0.156100158,0.829560119,0.618491917,0.357273897,0.20026349,-0.288551235,0.50649756,-1.203493695
1250,0.920534299,0.009946984,0.930481283,0.877123953,0.742427275,0.015197098,0.757624373,0.618491917,0.357273897,0.20026349,-0.288551235,0.50649756,-1.203493695
1250,0.938828075,0.019632791,0.958460866,0.924582724,0.689443897,0.120128514,0.809572411,0.618491917,0.357273897,0.20026349,-0.288551235,0.50649756,-1.203493695
1250,0.929110106,0.034915918,0.964026024,0.928864259,0.661470654,0.16744824,0.828918894,0.618491917,0.357273897,0.20026349,-0.288551235,0.50649756,-1.203493695
1250,0.938453964,0.021378941,0.959832905,0.929258619,0.699502494,0.11207096,0.811573454,0.618491917,0.357273897,0.20026349,-0.288551235,0.50649756,-1.203493695
1250,0.932382462,0.025814795,0.958197257,0.934253281,0.681634825,0.129452948,0.811087773,0.618491917,0.357273897,0.20026349,-0.288551235,0.50649756,-1.203493695
