"","1251-1M","1251-2M","1251-3M","1251-4M","1477-1M","1477-3M","51M","55M","GS1","GS11","GS12","GS13","GS16","GS17","GS19","GS2","GS23","GS24","GS29","GS3","GS33","GS34","GS35","GS37","GS4","GS40","GS47","GS49","GS5","GS56","GS57M","GS58M","GS6","GS64M","GS7","GS71M","GS77M","GS78M","GS79M","GS8","GS80M","GS81M","GS84M","GS85M"
"GS16","0","0","0","0","0.135 ","0.135 ","0.095 ","0.135 ","-0.036 ","0.095 ","0.095 ","-0.036 ","0","-0.038 ","0.095 ","0","-0.036 ","-0.038 ","0.091 ","0","-0.036 ","0.095 ","0","0.095 ","-0.038 ","-0.038 ","0","0.091 ","-0.038 ","0","0.135 ","0.095 ","0.095 ","0.135 ","-0.036 ","0.135 ","-0.036 ","-0.036 ","-0.036 ","-0.038 ","-0.038 ","-0.038 ","-0.038 ","-0.038 "
"GS17","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
"GS19","0.095 ","0.095 ","0.095 ","0.095 ","0.011 ","0.011 ","0","0.011 ","0.08 ","0","0","0.08 ","0.095 ","0.094 ","0","0.095 ","0.08 ","0.094 ","0.08 ","0.095 ","0.08 ","0","0.095 ","0","0.094 ","0.094 ","0.095 ","0.08 ","0.094 ","0.095 ","0.011 ","0","0","0.011 ","0.08 ","0.011 ","0.08 ","0.08 ","0.08 ","0.094 ","0.094 ","0.094 ","0.094 ","0.094 "
"GS2","0","0","0","0","0.135 ","0.135 ","0.095 ","0.135 ","-0.036 ","0.095 ","0.095 ","-0.036 ","0","-0.038 ","0.095 ","0","-0.036 ","-0.038 ","0.091 ","0","-0.036 ","0.095 ","0","0.095 ","-0.038 ","-0.038 ","0","0.091 ","-0.038 ","0","0.135 ","0.095 ","0.095 ","0.135 ","-0.036 ","0.135 ","-0.036 ","-0.036 ","-0.036 ","-0.038 ","-0.038 ","-0.038 ","-0.038 ","-0.038 "
"GS23","-0.036 ","-0.036 ","-0.036 ","-0.036 ","0.156 ","0.156 ","0.08 ","0.156 ","0","0.08 ","0.08 ","0","-0.036 ","0.004 ","0.08 ","-0.036 ","0","0.004 ","0.074 ","-0.036 ","0","0.08 ","-0.036 ","0.08 ","0.004 ","0.004 ","-0.036 ","0.074 ","0.004 ","-0.036 ","0.156 ","0.08 ","0.08 ","0.156 ","0","0.156 ","0","0","0","0.004 ","0.004 ","0.004 ","0.004 ","0.004 "
"GS24","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
"GS29","0.091 ","0.091 ","0.091 ","0.091 ","0.123 ","0.123 ","0.08 ","0.123 ","0.074 ","0.08 ","0.08 ","0.074 ","0.091 ","0.089 ","0.08 ","0.091 ","0.074 ","0.089 ","0","0.091 ","0.074 ","0.08 ","0.091 ","0.08 ","0.089 ","0.089 ","0.091 ","0","0.089 ","0.091 ","0.123 ","0.08 ","0.08 ","0.123 ","0.074 ","0.123 ","0.074 ","0.074 ","0.074 ","0.089 ","0.089 ","0.089 ","0.089 ","0.089 "
"GS3","0","0","0","0","0.135 ","0.135 ","0.095 ","0.135 ","-0.036 ","0.095 ","0.095 ","-0.036 ","0","-0.038 ","0.095 ","0","-0.036 ","-0.038 ","0.091 ","0","-0.036 ","0.095 ","0","0.095 ","-0.038 ","-0.038 ","0","0.091 ","-0.038 ","0","0.135 ","0.095 ","0.095 ","0.135 ","-0.036 ","0.135 ","-0.036 ","-0.036 ","-0.036 ","-0.038 ","-0.038 ","-0.038 ","-0.038 ","-0.038 "
"GS33","-0.036 ","-0.036 ","-0.036 ","-0.036 ","0.156 ","0.156 ","0.08 ","0.156 ","0","0.08 ","0.08 ","0","-0.036 ","0.004 ","0.08 ","-0.036 ","0","0.004 ","0.074 ","-0.036 ","0","0.08 ","-0.036 ","0.08 ","0.004 ","0.004 ","-0.036 ","0.074 ","0.004 ","-0.036 ","0.156 ","0.08 ","0.08 ","0.156 ","0","0.156 ","0","0","0","0.004 ","0.004 ","0.004 ","0.004 ","0.004 "
"GS34","0.095 ","0.095 ","0.095 ","0.095 ","0.011 ","0.011 ","0","0.011 ","0.08 ","0","0","0.08 ","0.095 ","0.094 ","0","0.095 ","0.08 ","0.094 ","0.08 ","0.095 ","0.08 ","0","0.095 ","0","0.094 ","0.094 ","0.095 ","0.08 ","0.094 ","0.095 ","0.011 ","0","0","0.011 ","0.08 ","0.011 ","0.08 ","0.08 ","0.08 ","0.094 ","0.094 ","0.094 ","0.094 ","0.094 "
"GS35","0","0","0","0","0.135 ","0.135 ","0.095 ","0.135 ","-0.036 ","0.095 ","0.095 ","-0.036 ","0","-0.038 ","0.095 ","0","-0.036 ","-0.038 ","0.091 ","0","-0.036 ","0.095 ","0","0.095 ","-0.038 ","-0.038 ","0","0.091 ","-0.038 ","0","0.135 ","0.095 ","0.095 ","0.135 ","-0.036 ","0.135 ","-0.036 ","-0.036 ","-0.036 ","-0.038 ","-0.038 ","-0.038 ","-0.038 ","-0.038 "
"GS37","0.095 ","0.095 ","0.095 ","0.095 ","0.011 ","0.011 ","0","0.011 ","0.08 ","0","0","0.08 ","0.095 ","0.094 ","0","0.095 ","0.08 ","0.094 ","0.08 ","0.095 ","0.08 ","0","0.095 ","0","0.094 ","0.094 ","0.095 ","0.08 ","0.094 ","0.095 ","0.011 ","0","0","0.011 ","0.08 ","0.011 ","0.08 ","0.08 ","0.08 ","0.094 ","0.094 ","0.094 ","0.094 ","0.094 "
"GS4","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
"GS40","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
"GS47","0","0","0","0","0.135 ","0.135 ","0.095 ","0.135 ","-0.036 ","0.095 ","0.095 ","-0.036 ","0","-0.038 ","0.095 ","0","-0.036 ","-0.038 ","0.091 ","0","-0.036 ","0.095 ","0","0.095 ","-0.038 ","-0.038 ","0","0.091 ","-0.038 ","0","0.135 ","0.095 ","0.095 ","0.135 ","-0.036 ","0.135 ","-0.036 ","-0.036 ","-0.036 ","-0.038 ","-0.038 ","-0.038 ","-0.038 ","-0.038 "
"GS49","0.091 ","0.091 ","0.091 ","0.091 ","0.123 ","0.123 ","0.08 ","0.123 ","0.074 ","0.08 ","0.08 ","0.074 ","0.091 ","0.089 ","0.08 ","0.091 ","0.074 ","0.089 ","0","0.091 ","0.074 ","0.08 ","0.091 ","0.08 ","0.089 ","0.089 ","0.091 ","0","0.089 ","0.091 ","0.123 ","0.08 ","0.08 ","0.123 ","0.074 ","0.123 ","0.074 ","0.074 ","0.074 ","0.089 ","0.089 ","0.089 ","0.089 ","0.089 "
"GS5","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
"GS56","0","0","0","0","0.135 ","0.135 ","0.095 ","0.135 ","-0.036 ","0.095 ","0.095 ","-0.036 ","0","-0.038 ","0.095 ","0","-0.036 ","-0.038 ","0.091 ","0","-0.036 ","0.095 ","0","0.095 ","-0.038 ","-0.038 ","0","0.091 ","-0.038 ","0","0.135 ","0.095 ","0.095 ","0.135 ","-0.036 ","0.135 ","-0.036 ","-0.036 ","-0.036 ","-0.038 ","-0.038 ","-0.038 ","-0.038 ","-0.038 "
"GS57M","0.135 ","0.135 ","0.135 ","0.135 ","0","0","0.011 ","0","0.156 ","0.011 ","0.011 ","0.156 ","0.135 ","0.168 ","0.011 ","0.135 ","0.156 ","0.168 ","0.123 ","0.135 ","0.156 ","0.011 ","0.135 ","0.011 ","0.168 ","0.168 ","0.135 ","0.123 ","0.168 ","0.135 ","0","0.011 ","0.011 ","0","0.156 ","0","0.156 ","0.156 ","0.156 ","0.168 ","0.168 ","0.168 ","0.168 ","0.168 "
"GS58M","0.095 ","0.095 ","0.095 ","0.095 ","0.011 ","0.011 ","0","0.011 ","0.08 ","0","0","0.08 ","0.095 ","0.094 ","0","0.095 ","0.08 ","0.094 ","0.08 ","0.095 ","0.08 ","0","0.095 ","0","0.094 ","0.094 ","0.095 ","0.08 ","0.094 ","0.095 ","0.011 ","0","0","0.011 ","0.08 ","0.011 ","0.08 ","0.08 ","0.08 ","0.094 ","0.094 ","0.094 ","0.094 ","0.094 "
"GS6","0.095 ","0.095 ","0.095 ","0.095 ","0.011 ","0.011 ","0","0.011 ","0.08 ","0","0","0.08 ","0.095 ","0.094 ","0","0.095 ","0.08 ","0.094 ","0.08 ","0.095 ","0.08 ","0","0.095 ","0","0.094 ","0.094 ","0.095 ","0.08 ","0.094 ","0.095 ","0.011 ","0","0","0.011 ","0.08 ","0.011 ","0.08 ","0.08 ","0.08 ","0.094 ","0.094 ","0.094 ","0.094 ","0.094 "
"GS64M","0.135 ","0.135 ","0.135 ","0.135 ","0","0","0.011 ","0","0.156 ","0.011 ","0.011 ","0.156 ","0.135 ","0.168 ","0.011 ","0.135 ","0.156 ","0.168 ","0.123 ","0.135 ","0.156 ","0.011 ","0.135 ","0.011 ","0.168 ","0.168 ","0.135 ","0.123 ","0.168 ","0.135 ","0","0.011 ","0.011 ","0","0.156 ","0","0.156 ","0.156 ","0.156 ","0.168 ","0.168 ","0.168 ","0.168 ","0.168 "
"GS7","-0.036 ","-0.036 ","-0.036 ","-0.036 ","0.156 ","0.156 ","0.08 ","0.156 ","0","0.08 ","0.08 ","0","-0.036 ","0.004 ","0.08 ","-0.036 ","0","0.004 ","0.074 ","-0.036 ","0","0.08 ","-0.036 ","0.08 ","0.004 ","0.004 ","-0.036 ","0.074 ","0.004 ","-0.036 ","0.156 ","0.08 ","0.08 ","0.156 ","0","0.156 ","0","0","0","0.004 ","0.004 ","0.004 ","0.004 ","0.004 "
"GS71M","0.135 ","0.135 ","0.135 ","0.135 ","0","0","0.011 ","0","0.156 ","0.011 ","0.011 ","0.156 ","0.135 ","0.168 ","0.011 ","0.135 ","0.156 ","0.168 ","0.123 ","0.135 ","0.156 ","0.011 ","0.135 ","0.011 ","0.168 ","0.168 ","0.135 ","0.123 ","0.168 ","0.135 ","0","0.011 ","0.011 ","0","0.156 ","0","0.156 ","0.156 ","0.156 ","0.168 ","0.168 ","0.168 ","0.168 ","0.168 "
"GS77M","-0.036 ","-0.036 ","-0.036 ","-0.036 ","0.156 ","0.156 ","0.08 ","0.156 ","0","0.08 ","0.08 ","0","-0.036 ","0.004 ","0.08 ","-0.036 ","0","0.004 ","0.074 ","-0.036 ","0","0.08 ","-0.036 ","0.08 ","0.004 ","0.004 ","-0.036 ","0.074 ","0.004 ","-0.036 ","0.156 ","0.08 ","0.08 ","0.156 ","0","0.156 ","0","0","0","0.004 ","0.004 ","0.004 ","0.004 ","0.004 "
"GS78M","-0.036 ","-0.036 ","-0.036 ","-0.036 ","0.156 ","0.156 ","0.08 ","0.156 ","0","0.08 ","0.08 ","0","-0.036 ","0.004 ","0.08 ","-0.036 ","0","0.004 ","0.074 ","-0.036 ","0","0.08 ","-0.036 ","0.08 ","0.004 ","0.004 ","-0.036 ","0.074 ","0.004 ","-0.036 ","0.156 ","0.08 ","0.08 ","0.156 ","0","0.156 ","0","0","0","0.004 ","0.004 ","0.004 ","0.004 ","0.004 "
"GS79M","-0.036 ","-0.036 ","-0.036 ","-0.036 ","0.156 ","0.156 ","0.08 ","0.156 ","0","0.08 ","0.08 ","0","-0.036 ","0.004 ","0.08 ","-0.036 ","0","0.004 ","0.074 ","-0.036 ","0","0.08 ","-0.036 ","0.08 ","0.004 ","0.004 ","-0.036 ","0.074 ","0.004 ","-0.036 ","0.156 ","0.08 ","0.08 ","0.156 ","0","0.156 ","0","0","0","0.004 ","0.004 ","0.004 ","0.004 ","0.004 "
"GS8","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
"GS80M","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
"GS81M","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
"GS84M","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
"GS85M","-0.038 ","-0.038 ","-0.038 ","-0.038 ","0.168 ","0.168 ","0.094 ","0.168 ","0.004 ","0.094 ","0.094 ","0.004 ","-0.038 ","0","0.094 ","-0.038 ","0.004 ","0","0.089 ","-0.038 ","0.004 ","0.094 ","-0.038 ","0.094 ","0","0","-0.038 ","0.089 ","0","-0.038 ","0.168 ","0.094 ","0.094 ","0.168 ","0.004 ","0.168 ","0.004 ","0.004 ","0.004 ","0","0","0","0","0"
